id_commande;id_produit;date_retour;motif
O018036;P00839;2024-12-20;Client insatisfait
O007496;P00047;2024-10-06;Client insatisfait
O039833;P00343;2024-05-22;Client insatisfait
O011064;P00839;2024-12-31;Livraison incomplète
O005101;P00170;2024-04-30;Mauvaise référence
O029464;P00742;2024-04-17;Livraison incomplète
O019438;P00398;2025-01-17;Livraison incomplète
O004740;P00516;2024-03-03;Livraison incomplète
O026311;P00865;2024-06-06;Livraison incomplète
O009108;P00330;2024-12-26;Mauvaise référence
O015753;P00063;2025-01-08;Mauvaise référence
O047682;P00121;2024-01-31;Client insatisfait
O016563;P00615;2024-09-19;Livraison incomplète
O036802;P00250;2024-12-06;Livraison incomplète
O006729;P00792;2024-01-18;Produit abîmé
O002032;P00355;2024-10-30;Mauvaise référence
O035420;P00008;2024-02-06;Produit abîmé
O012943;P00895;2024-10-26;Mauvaise référence
O017478;P00414;2024-12-06;Livraison incomplète
O027545;P00121;2024-11-01;Produit abîmé
O042148;P00258;2024-11-23;Mauvaise référence
O042034;P00751;2024-07-16;Produit abîmé
O025935;P00503;2024-12-24;Produit abîmé
O011811;P00791;2024-04-09;Client insatisfait
O041237;P00233;2024-12-28;Client insatisfait
O034936;P00506;2024-09-17;Livraison incomplète
O017354;P00099;2024-09-27;Livraison incomplète
O045917;P00055;2024-12-20;Livraison incomplète
O012468;P00603;2024-02-24;Mauvaise référence
O007358;P00671;2024-09-21;Livraison incomplète
O004128;P00938;2024-06-16;Produit abîmé
O007557;P00603;2024-05-28;Client insatisfait
O025198;P00509;2024-02-17;Produit abîmé
O007352;P00198;2024-07-14;Produit abîmé
O031005;P00417;2024-01-28;Client insatisfait
O000503;P00011;2024-03-14;Client insatisfait
O044978;P00654;2024-09-23;Livraison incomplète
O023412;P00518;2024-09-01;Mauvaise référence
O033765;P00063;2024-09-19;Livraison incomplète
O049074;P00831;2024-02-07;Livraison incomplète
O045432;P00373;2024-11-17;Mauvaise référence
O020400;P00473;2025-01-11;Produit abîmé
O042697;P00370;2024-06-06;Livraison incomplète
O022210;P00445;2024-09-20;Client insatisfait
O039081;P00106;2024-03-22;Livraison incomplète
O026142;P00017;2024-11-13;Livraison incomplète
O033217;P00973;2024-03-07;Produit abîmé
O037120;P00738;2024-01-29;Livraison incomplète
O031570;P00893;2025-01-08;Produit abîmé
O043243;P00551;2024-08-27;Livraison incomplète
O031305;P00198;2024-02-21;Produit abîmé
O027314;P00002;2024-12-21;Mauvaise référence
O047362;P00418;2025-01-27;Client insatisfait
O044037;P00963;2024-11-02;Produit abîmé
O024995;P00220;2024-12-30;Client insatisfait
O049333;P00463;2024-05-25;Livraison incomplète
O009724;P00604;2024-03-17;Livraison incomplète
O004365;P00226;2024-09-14;Produit abîmé
O004258;P00653;2024-04-01;Mauvaise référence
O008814;P00905;2024-06-27;Client insatisfait
O003011;P00467;2024-11-18;Produit abîmé
O049850;P00222;2024-02-14;Produit abîmé
O019583;P00135;2024-08-15;Client insatisfait
O039137;P00463;2025-01-25;Produit abîmé
O047299;P00396;2024-05-30;Client insatisfait
O019727;P00136;2025-01-01;Livraison incomplète
O040156;P00037;2024-02-28;Client insatisfait
O020749;P00751;2024-03-19;Mauvaise référence
O014895;P00526;2024-02-06;Client insatisfait
O044961;P00445;2024-11-15;Livraison incomplète
O020185;P00029;2024-01-25;Client insatisfait
O007594;P00603;2024-11-05;Client insatisfait
O013149;P00234;2024-04-04;Produit abîmé
O012398;P00968;2024-06-01;Client insatisfait
O023835;P00305;2024-02-13;Livraison incomplète
O001384;P00754;2024-11-18;Livraison incomplète
O022631;P00658;2025-01-07;Mauvaise référence
O042376;P00963;2025-01-14;Client insatisfait
O041623;P00535;2024-10-03;Produit abîmé
O044994;P00733;2025-01-09;Livraison incomplète
O034260;P00149;2024-11-30;Mauvaise référence
O013930;P00198;2024-07-19;Client insatisfait
O020195;P00810;2024-06-06;Produit abîmé
O044615;P00603;2024-12-04;Client insatisfait
O012241;P00037;2024-07-27;Client insatisfait
O027947;P00140;2025-01-29;Mauvaise référence
O016638;P00764;2024-07-25;Livraison incomplète
O001301;P00931;2024-09-20;Client insatisfait
O036311;P00250;2024-11-15;Client insatisfait
O017925;P00135;2024-12-22;Mauvaise référence
O047691;P00470;2024-03-26;Produit abîmé
O019240;P00948;2025-01-05;Client insatisfait
O034392;P00943;2024-10-06;Livraison incomplète
O010792;P00515;2024-10-31;Client insatisfait
O041343;P00470;2024-04-19;Client insatisfait
O033847;P00503;2024-10-12;Livraison incomplète
O035341;P00658;2024-11-11;Mauvaise référence
O038284;P00780;2024-10-04;Client insatisfait
O029140;P00968;2024-10-07;Livraison incomplète
O014643;P00149;2024-11-22;Livraison incomplète
O021732;P00751;2025-01-05;Produit abîmé
O032506;P00610;2024-03-13;Mauvaise référence
O027591;P00765;2024-12-25;Livraison incomplète
O016954;P00839;2024-08-01;Client insatisfait
O023752;P00184;2025-01-02;Mauvaise référence
O026339;P00377;2024-12-21;Livraison incomplète
O029878;P00379;2024-09-08;Mauvaise référence
O049612;P00943;2025-01-07;Client insatisfait
O048918;P00963;2024-03-07;Produit abîmé
O025471;P00811;2024-04-11;Client insatisfait
O030668;P00507;2024-07-15;Mauvaise référence
O033578;P00518;2024-07-01;Client insatisfait
O031450;P00613;2024-03-14;Livraison incomplète
O032134;P00952;2024-03-13;Mauvaise référence
O049594;P00535;2024-08-11;Client insatisfait
O019164;P00105;2025-01-14;Client insatisfait
O028182;P00149;2024-01-26;Client insatisfait
O020443;P00811;2024-10-23;Produit abîmé
O020421;P00152;2024-12-12;Produit abîmé
O010145;P00017;2024-01-17;Produit abîmé
O049936;P00152;2024-05-22;Produit abîmé
O024518;P00370;2024-12-28;Client insatisfait
O005886;P00742;2024-12-28;Produit abîmé
O022202;P00780;2024-01-24;Client insatisfait
O027053;P00986;2024-02-07;Livraison incomplète
O032414;P00136;2024-12-20;Livraison incomplète
O042156;P00881;2024-09-29;Livraison incomplète
O014569;P00654;2024-11-13;Mauvaise référence
O014644;P00188;2024-04-27;Livraison incomplète
O017723;P00417;2024-02-24;Mauvaise référence
O019475;P00515;2024-10-01;Produit abîmé
O014434;P00017;2024-03-21;Livraison incomplète
O032263;P00226;2024-10-16;Livraison incomplète
O042206;P00733;2024-09-25;Livraison incomplète
O048350;P00234;2024-04-03;Produit abîmé
O029808;P00938;2024-02-22;Livraison incomplète
O003559;P00184;2024-11-27;Livraison incomplète
O046480;P00518;2024-04-05;Client insatisfait
O024627;P00158;2025-01-05;Client insatisfait
O017847;P00182;2024-08-27;Mauvaise référence
O003241;P00467;2024-11-12;Client insatisfait
O021821;P00809;2024-09-02;Produit abîmé
O045126;P00467;2024-05-22;Produit abîmé
O028064;P00182;2024-05-31;Livraison incomplète
O044285;P00182;2024-12-31;Client insatisfait
O025737;P00610;2025-01-03;Mauvaise référence
O005546;P00024;2025-01-07;Mauvaise référence
O033211;P00105;2024-12-17;Mauvaise référence
O013676;P00140;2024-11-28;Livraison incomplète
O032806;P00452;2024-04-10;Produit abîmé
O021807;P00143;2024-10-14;Livraison incomplète
O013301;P00612;2024-12-11;Produit abîmé
O031124;P00733;2025-01-08;Livraison incomplète
O012935;P00467;2024-12-21;Produit abîmé
O017897;P00952;2025-01-04;Mauvaise référence
O034937;P00462;2024-01-14;Produit abîmé
O042750;P00831;2024-11-15;Client insatisfait
O038585;P00957;2024-02-27;Client insatisfait
O046741;P00403;2024-09-11;Mauvaise référence
O040139;P00521;2024-10-25;Mauvaise référence
O027024;P00462;2024-12-28;Livraison incomplète
O041208;P00319;2024-09-28;Client insatisfait
O003194;P00343;2024-01-28;Mauvaise référence
O000599;P00258;2024-12-28;Livraison incomplète
O035775;P00865;2024-10-21;Livraison incomplète
O035271;P00330;2025-01-04;Client insatisfait
O024085;P00403;2024-02-22;Produit abîmé
O043966;P00516;2024-02-21;Livraison incomplète
O015528;P00234;2024-12-25;Client insatisfait
O006788;P00710;2024-01-08;Livraison incomplète
O030333;P00809;2024-02-20;Livraison incomplète
O037791;P00509;2024-12-02;Mauvaise référence
O037925;P00893;2024-06-25;Mauvaise référence
O012329;P00792;2024-12-13;Mauvaise référence
O042135;P00233;2024-12-31;Client insatisfait
O007539;P00865;2024-08-15;Livraison incomplète
O040567;P00234;2024-08-23;Client insatisfait
O028601;P00467;2025-01-06;Livraison incomplète
O042450;P00931;2024-05-12;Livraison incomplète
O024676;P00017;2024-11-09;Mauvaise référence
O015721;P00603;2024-10-08;Mauvaise référence
O006231;P00780;2024-11-15;Livraison incomplète
O037149;P00518;2024-11-08;Livraison incomplète
O014324;P00037;2024-09-15;Produit abîmé
O040946;P00603;2024-08-07;Produit abîmé
O043235;P00831;2024-06-05;Livraison incomplète
O011569;P00118;2024-03-27;Client insatisfait
O031660;P00462;2024-12-23;Produit abîmé
O027324;P00507;2024-10-12;Livraison incomplète
O002519;P00653;2025-01-07;Livraison incomplète
O027254;P00462;2024-11-14;Produit abîmé
O011518;P00952;2025-01-03;Livraison incomplète
O017780;P00398;2024-10-14;Client insatisfait
O008307;P00971;2024-05-20;Produit abîmé
O000537;P00536;2024-06-22;Client insatisfait
O006334;P00671;2024-03-12;Livraison incomplète
O038522;P00250;2024-02-01;Mauvaise référence
O011520;P00620;2024-06-23;Livraison incomplète
O008762;P00921;2024-09-17;Produit abîmé
O038874;P00518;2024-10-03;Client insatisfait
O014508;P00370;2025-01-16;Livraison incomplète
O045029;P00968;2024-01-26;Client insatisfait
O027026;P00509;2024-08-28;Client insatisfait
O044819;P00140;2024-12-01;Produit abîmé
O003015;P00417;2024-09-15;Client insatisfait
O048632;P00118;2024-03-10;Client insatisfait
O029512;P00507;2024-09-28;Produit abîmé
O000473;P00152;2024-03-28;Client insatisfait
O029272;P00603;2024-02-25;Livraison incomplète
O006374;P00413;2024-11-30;Livraison incomplète
O041351;P00008;2025-01-03;Client insatisfait
O015557;P00135;2024-02-10;Produit abîmé
O042526;P00615;2024-04-15;Produit abîmé
O028059;P00943;2025-01-03;Livraison incomplète
O022552;P00105;2024-12-22;Mauvaise référence
O000020;P00516;2024-12-18;Mauvaise référence
O045525;P00414;2024-02-12;Client insatisfait
O039563;P00009;2024-12-02;Mauvaise référence
O009656;P00220;2024-12-27;Client insatisfait
O041986;P00413;2024-12-29;Client insatisfait
O032522;P00526;2024-06-01;Mauvaise référence
O018587;P00986;2024-11-21;Livraison incomplète
O008955;P00558;2024-09-02;Livraison incomplète
O010716;P00691;2024-09-18;Produit abîmé
O017958;P00032;2024-02-15;Produit abîmé
O038445;P00751;2025-01-05;Livraison incomplète
O027284;P00029;2024-02-02;Mauvaise référence
O046987;P00509;2025-01-20;Livraison incomplète
O000026;P00948;2024-12-13;Livraison incomplète
O043428;P00143;2025-01-06;Livraison incomplète
O042083;P00473;2024-11-24;Client insatisfait
O043731;P00881;2024-10-29;Produit abîmé
O030678;P00135;2025-01-08;Client insatisfait
O039556;P00893;2024-12-15;Produit abîmé
O004191;P00510;2024-10-01;Mauvaise référence
O000880;P00234;2024-10-18;Livraison incomplète
O027198;P00336;2024-03-12;Mauvaise référence
O016486;P00811;2024-03-31;Livraison incomplète
O047006;P00488;2024-05-24;Livraison incomplète
O012009;P00184;2024-03-23;Mauvaise référence
O038271;P00417;2025-01-06;Client insatisfait
O028003;P00080;2024-12-26;Mauvaise référence
O049025;P00188;2024-02-08;Mauvaise référence
O027412;P00055;2024-11-17;Mauvaise référence
O025480;P00449;2025-01-16;Client insatisfait
O012000;P00355;2024-12-15;Livraison incomplète
O014813;P00521;2024-10-02;Livraison incomplète
O012403;P00780;2024-04-11;Client insatisfait
O040191;P00654;2024-12-22;Client insatisfait
O001312;P00341;2024-11-24;Produit abîmé
O032304;P00039;2024-12-25;Livraison incomplète
O043767;P00809;2024-01-30;Livraison incomplète
O036365;P00658;2024-04-23;Client insatisfait
O044402;P00467;2024-12-27;Livraison incomplète
O016915;P00948;2024-10-23;Livraison incomplète
O011905;P00839;2025-01-03;Mauvaise référence
O022316;P00751;2024-04-07;Produit abîmé
O020735;P00451;2024-11-08;Client insatisfait
O046155;P00957;2024-10-12;Livraison incomplète
O041120;P00258;2024-12-24;Client insatisfait
O002715;P00921;2024-04-07;Client insatisfait
O014912;P00738;2024-12-28;Livraison incomplète
O041989;P00518;2024-10-26;Produit abîmé
O037242;P00526;2025-01-08;Mauvaise référence
O017818;P00792;2024-02-10;Mauvaise référence
O007605;P00379;2024-03-03;Produit abîmé
O021393;P00536;2024-04-02;Mauvaise référence
O018012;P00355;2024-06-15;Client insatisfait
O031375;P00014;2024-05-23;Produit abîmé
O038835;P00507;2024-12-04;Mauvaise référence
O000978;P00396;2024-09-19;Produit abîmé
O011680;P00905;2024-12-29;Livraison incomplète
O001795;P00467;2024-12-13;Livraison incomplète
O025132;P00305;2024-11-10;Livraison incomplète
O029765;P00516;2025-01-01;Client insatisfait
O048566;P00615;2024-11-06;Mauvaise référence
O000216;P00212;2024-12-26;Mauvaise référence
O010819;P00009;2025-01-11;Client insatisfait
O006098;P00330;2024-12-22;Mauvaise référence
O002331;P00341;2024-06-24;Mauvaise référence
O047988;P00305;2024-09-02;Mauvaise référence
O024837;P00615;2024-04-21;Client insatisfait
O028487;P00403;2024-03-23;Produit abîmé
O028732;P00220;2024-11-16;Produit abîmé
O004262;P00876;2024-04-27;Mauvaise référence
O032268;P00296;2024-04-22;Livraison incomplète
O009051;P00011;2024-03-24;Produit abîmé
O034360;P00906;2024-01-26;Livraison incomplète
O010545;P00379;2024-01-28;Client insatisfait
O023326;P00445;2024-09-24;Mauvaise référence
O039483;P00671;2024-03-14;Client insatisfait
O011034;P00865;2024-01-26;Mauvaise référence
O039761;P00319;2024-10-13;Mauvaise référence
O008957;P00305;2024-12-15;Mauvaise référence
O049963;P00604;2024-02-13;Livraison incomplète
O025139;P00055;2024-10-07;Produit abîmé
O029613;P00011;2025-01-06;Mauvaise référence
O047286;P00526;2024-03-02;Client insatisfait
O015111;P00620;2024-11-17;Mauvaise référence
O001641;P00379;2024-04-10;Livraison incomplète
O033554;P00653;2024-08-27;Produit abîmé
O002158;P00284;2024-08-16;Mauvaise référence
O020052;P00377;2024-02-12;Produit abîmé
O006700;P00418;2024-02-27;Livraison incomplète
O048428;P00357;2024-12-24;Produit abîmé
O045833;P00398;2024-01-22;Mauvaise référence
O031535;P00011;2025-01-17;Livraison incomplète
O031718;P00923;2024-03-20;Produit abîmé
O045299;P00357;2024-10-09;Mauvaise référence
O034016;P00895;2024-12-01;Livraison incomplète
O004652;P00981;2024-04-19;Produit abîmé
O017333;P00653;2024-02-17;Mauvaise référence
O002951;P00152;2024-12-20;Mauvaise référence
O010333;P00895;2024-12-31;Livraison incomplète
O041073;P00532;2024-12-24;Livraison incomplète
O020675;P00986;2024-11-20;Mauvaise référence
O040356;P00653;2024-12-10;Mauvaise référence
O028715;P00184;2024-10-18;Livraison incomplète
O011540;P00222;2024-10-17;Livraison incomplète
O022639;P00876;2024-06-22;Mauvaise référence
O000043;P00140;2024-06-19;Livraison incomplète
O003830;P00612;2024-12-18;Client insatisfait
O019815;P00418;2024-12-27;Produit abîmé
O017580;P00521;2024-06-04;Mauvaise référence
O020866;P00024;2024-05-30;Client insatisfait
O008902;P00620;2024-03-25;Mauvaise référence
O013696;P00284;2025-01-03;Produit abîmé
O006737;P00791;2024-06-23;Livraison incomplète
O038362;P00710;2024-03-13;Client insatisfait
O040656;P00767;2024-05-25;Livraison incomplète
O021603;P00515;2024-11-01;Client insatisfait
O040742;P00149;2024-06-11;Produit abîmé
O012957;P00099;2024-12-17;Mauvaise référence
O023128;P00462;2024-09-26;Livraison incomplète
O024768;P00688;2025-01-07;Client insatisfait
O039937;P00296;2024-12-21;Client insatisfait
O038327;P00973;2024-04-16;Client insatisfait
O006718;P00780;2024-12-27;Produit abîmé
O026164;P00009;2025-01-23;Mauvaise référence
O034748;P00398;2024-10-08;Mauvaise référence
O026585;P00011;2024-12-25;Produit abîmé
O002599;P00831;2024-02-12;Livraison incomplète
O042516;P00305;2024-10-09;Mauvaise référence
O023968;P00507;2024-03-25;Produit abîmé
O014467;P00507;2025-01-16;Client insatisfait
O026070;P00933;2024-12-30;Client insatisfait
O020799;P00371;2024-11-15;Livraison incomplète
O047830;P00558;2024-03-25;Client insatisfait
O048955;P00509;2024-08-27;Produit abîmé
O044465;P00198;2024-03-20;Produit abîmé
O026856;P00398;2025-01-02;Client insatisfait
O022302;P00452;2024-12-25;Produit abîmé
O048594;P00284;2024-02-12;Client insatisfait
O005381;P00506;2024-12-15;Client insatisfait
O032923;P00106;2024-10-20;Livraison incomplète
O032777;P00535;2024-01-24;Produit abîmé
O027469;P00536;2024-10-25;Produit abîmé
O003342;P00357;2024-07-24;Client insatisfait
O049891;P00658;2024-02-09;Livraison incomplète
O036168;P00414;2024-01-09;Livraison incomplète
O048162;P00198;2024-12-02;Client insatisfait
O000024;P00012;2024-03-28;Mauvaise référence
O026299;P00691;2024-02-17;Livraison incomplète
O014041;P00099;2024-12-11;Client insatisfait
O033289;P00319;2024-04-22;Produit abîmé
O033699;P00839;2024-12-11;Mauvaise référence
O048400;P00143;2024-02-01;Client insatisfait
O006733;P00024;2024-01-31;Client insatisfait
O017637;P00452;2024-03-26;Client insatisfait
O012162;P00809;2024-12-29;Produit abîmé
O016129;P00106;2024-05-17;Mauvaise référence
O044669;P00136;2025-01-11;Client insatisfait
O012125;P00336;2025-01-13;Livraison incomplète
O044758;P00653;2025-01-13;Produit abîmé
O032480;P00047;2025-01-03;Mauvaise référence
O041194;P00379;2025-01-11;Livraison incomplète
O047288;P00396;2024-06-11;Client insatisfait
O006854;P00691;2024-07-12;Mauvaise référence
O013716;P00921;2024-11-03;Livraison incomplète
O011864;P00343;2024-12-02;Livraison incomplète
O025569;P00541;2025-01-04;Client insatisfait
O040431;P00515;2024-12-30;Mauvaise référence
O013780;P00379;2024-06-14;Produit abîmé
O000987;P00047;2024-12-13;Client insatisfait
O029326;P00398;2024-12-27;Produit abîmé
O000729;P00948;2024-09-24;Mauvaise référence
O016508;P00212;2024-06-28;Livraison incomplète
O043282;P00029;2024-07-01;Client insatisfait
O021925;P00938;2024-10-01;Client insatisfait
O021320;P00811;2024-08-31;Produit abîmé
O046832;P00396;2025-01-27;Livraison incomplète
O002393;P00396;2024-11-01;Client insatisfait
O045123;P00742;2024-04-26;Livraison incomplète
O037344;P00355;2024-02-15;Client insatisfait
O032638;P00541;2025-01-18;Produit abîmé
O027108;P00620;2024-11-21;Mauvaise référence
O035864;P00008;2025-01-02;Produit abîmé
O013506;P00467;2024-01-20;Produit abîmé
O035867;P00971;2024-02-12;Livraison incomplète
O002714;P00620;2024-12-07;Mauvaise référence
O048662;P00809;2024-07-17;Livraison incomplète
O023231;P00357;2024-11-02;Client insatisfait
O035492;P00063;2024-11-07;Client insatisfait
O046998;P00971;2024-10-07;Livraison incomplète
O032385;P00792;2024-12-10;Mauvaise référence
O009144;P00558;2024-12-12;Livraison incomplète
O011316;P00396;2024-02-05;Client insatisfait
O045015;P00893;2024-04-08;Mauvaise référence
O002945;P00615;2024-12-22;Produit abîmé
O039683;P00014;2024-11-07;Client insatisfait
O027718;P00449;2024-03-24;Client insatisfait
O029609;P00653;2024-09-10;Livraison incomplète
O012528;P00182;2024-02-26;Livraison incomplète
O036967;P00742;2024-04-05;Mauvaise référence
O027837;P00620;2024-09-02;Mauvaise référence
O013868;P00357;2024-08-30;Produit abîmé
O043181;P00963;2024-04-26;Mauvaise référence
O016518;P00047;2024-11-19;Mauvaise référence
O009985;P00905;2024-11-17;Livraison incomplète
O040195;P00143;2024-03-22;Mauvaise référence
O041555;P00691;2024-12-29;Livraison incomplète
O025429;P00106;2024-03-25;Livraison incomplète
O009424;P00233;2024-12-18;Livraison incomplète
O023463;P00284;2024-12-21;Client insatisfait
O003570;P00895;2024-01-31;Livraison incomplète
O017456;P00449;2024-02-08;Livraison incomplète
O045551;P00473;2024-06-06;Livraison incomplète
O032970;P00330;2024-04-22;Livraison incomplète
O047605;P00414;2025-01-01;Client insatisfait
O010771;P00506;2024-09-22;Client insatisfait
O031373;P00688;2024-09-19;Client insatisfait
O012922;P00895;2024-03-21;Client insatisfait
O004925;P00532;2025-01-21;Client insatisfait
O027510;P00462;2024-04-28;Produit abîmé
O039144;P00742;2024-09-30;Client insatisfait
O024878;P00012;2025-01-03;Mauvaise référence
O015207;P00105;2024-12-22;Client insatisfait
O022460;P00240;2024-09-17;Mauvaise référence
O016827;P00550;2025-01-14;Mauvaise référence
O005990;P00738;2024-07-23;Livraison incomplète
O013436;P00612;2024-10-28;Produit abîmé
O033730;P00233;2024-05-14;Mauvaise référence
O004900;P00212;2024-06-13;Mauvaise référence
O004074;P00981;2024-03-12;Produit abîmé
O032920;P00865;2024-01-21;Mauvaise référence
O019754;P00343;2024-11-01;Produit abîmé
O023785;P00396;2024-12-02;Mauvaise référence
O025272;P00603;2025-01-02;Client insatisfait
O040010;P00710;2024-12-02;Mauvaise référence
O048091;P00905;2024-02-18;Client insatisfait
O018837;P00971;2024-02-11;Produit abîmé
O017932;P00751;2024-09-29;Client insatisfait
O042122;P00792;2024-12-14;Livraison incomplète
O045146;P00467;2024-09-13;Client insatisfait
O025945;P00938;2025-01-12;Mauvaise référence
O009863;P00121;2025-01-27;Client insatisfait
O012941;P00212;2024-01-21;Produit abîmé
O039271;P00212;2025-01-21;Livraison incomplète
O013900;P00905;2024-11-29;Produit abîmé
O037212;P00518;2025-01-03;Mauvaise référence
O016966;P00118;2024-03-24;Mauvaise référence
O047596;P00948;2025-01-19;Produit abîmé
O018474;P00039;2024-12-12;Livraison incomplète
O018382;P00093;2024-01-28;Produit abîmé
O019141;P00532;2025-01-16;Livraison incomplète
O026332;P00503;2024-12-26;Mauvaise référence
O003029;P00886;2024-12-11;Mauvaise référence
O006391;P00445;2024-09-16;Livraison incomplète
O036746;P00370;2024-11-05;Mauvaise référence
O008369;P00516;2024-04-02;Mauvaise référence
O028993;P00170;2024-03-20;Mauvaise référence
O014470;P00526;2024-12-22;Produit abîmé
O010622;P00258;2024-09-14;Mauvaise référence
O022131;P00009;2024-12-08;Client insatisfait
O042788;P00470;2024-02-05;Produit abîmé
O013189;P00613;2024-04-10;Client insatisfait
O002896;P00152;2024-12-06;Mauvaise référence
O049664;P00140;2025-01-23;Livraison incomplète
O031834;P00008;2024-04-25;Livraison incomplète
O024300;P00510;2024-12-18;Produit abîmé
O023221;P00839;2024-08-22;Mauvaise référence
O032914;P00105;2025-01-04;Mauvaise référence
O001977;P00462;2024-03-10;Mauvaise référence
O047510;P00106;2024-11-03;Produit abîmé
O003799;P00220;2024-03-26;Produit abîmé
O000199;P00931;2024-04-12;Client insatisfait
O035370;P00379;2024-01-20;Produit abîmé
O005439;P00046;2024-05-28;Livraison incomplète
O008877;P00610;2024-02-03;Mauvaise référence
O041465;P00526;2025-01-16;Client insatisfait
O021505;P00764;2024-11-13;Produit abîmé
O043854;P00396;2025-01-16;Client insatisfait
O049184;P00462;2024-10-17;Mauvaise référence
O039612;P00470;2024-04-10;Produit abîmé
O019713;P00470;2024-02-27;Mauvaise référence
O009819;P00780;2024-02-15;Mauvaise référence
O021367;P00373;2025-01-14;Livraison incomplète
O038727;P00445;2024-02-09;Client insatisfait
O037962;P00336;2024-06-02;Livraison incomplète
O047924;P00612;2024-02-10;Livraison incomplète
O023101;P00754;2025-01-02;Client insatisfait
O048746;P00952;2025-01-14;Client insatisfait
O029091;P00158;2024-03-30;Client insatisfait
O022433;P00029;2024-01-27;Client insatisfait
O036149;P00971;2025-01-02;Livraison incomplète
O014770;P00046;2024-02-24;Produit abîmé
O000515;P00234;2024-03-11;Client insatisfait
O021245;P00613;2024-04-23;Produit abîmé
O022844;P00938;2024-11-26;Produit abîmé
O015772;P00765;2024-11-08;Mauvaise référence
O016031;P00507;2024-12-25;Produit abîmé
O041451;P00710;2024-05-22;Mauvaise référence
O042370;P00809;2024-10-23;Livraison incomplète
O038306;P00032;2024-09-28;Mauvaise référence
O035556;P00551;2024-10-18;Client insatisfait
O044711;P00767;2024-11-04;Client insatisfait
O041092;P00809;2024-04-22;Client insatisfait
O016096;P00535;2024-09-29;Produit abîmé
O026926;P00963;2024-06-01;Client insatisfait
O048742;P00765;2024-12-05;Mauvaise référence
O002477;P00604;2024-02-23;Client insatisfait
O015314;P00377;2024-03-01;Client insatisfait
O022995;P00403;2024-12-31;Mauvaise référence
O015613;P00873;2024-06-11;Produit abîmé
O018192;P00509;2024-01-11;Produit abîmé
O038880;P00445;2024-12-09;Produit abîmé
O010583;P00893;2024-01-16;Mauvaise référence
O015514;P00024;2024-02-02;Livraison incomplète
O019225;P00135;2024-11-15;Mauvaise référence
O047778;P00039;2024-04-13;Produit abîmé
O028803;P00886;2024-03-30;Livraison incomplète
O036352;P00488;2025-01-25;Livraison incomplète
O024716;P00330;2024-08-22;Client insatisfait
O031272;P00943;2024-05-02;Mauvaise référence
O000747;P00971;2024-01-27;Produit abîmé
O019790;P00118;2024-02-05;Produit abîmé
O006539;P00152;2024-04-08;Produit abîmé
O011337;P00654;2024-08-20;Livraison incomplète
O033641;P00143;2024-11-24;Produit abîmé
O041076;P00258;2024-04-13;Livraison incomplète
O048012;P00751;2024-10-25;Client insatisfait
O005757;P00170;2024-12-30;Livraison incomplète
O033949;P00379;2025-01-15;Client insatisfait
O008835;P00105;2024-11-21;Mauvaise référence
O007431;P00188;2024-12-23;Mauvaise référence
O002061;P00047;2025-01-04;Livraison incomplète
O043031;P00873;2024-04-11;Produit abîmé
O037159;P00193;2024-10-20;Client insatisfait
O015362;P00055;2024-08-19;Mauvaise référence
O043837;P00357;2024-02-05;Client insatisfait
O040406;P00671;2024-02-21;Livraison incomplète
O044060;P00449;2024-12-18;Mauvaise référence
O019341;P00011;2024-12-24;Livraison incomplète
O044863;P00445;2024-02-03;Livraison incomplète
O032080;P00121;2024-10-31;Produit abîmé
O043301;P00503;2024-11-12;Produit abîmé
O014026;P00284;2024-02-01;Mauvaise référence
O047143;P00691;2024-01-25;Livraison incomplète
O016599;P00136;2024-12-14;Client insatisfait
O039340;P00931;2024-12-07;Client insatisfait
O018590;P00012;2024-05-04;Livraison incomplète
O043953;P00541;2024-02-13;Livraison incomplète
O043649;P00379;2024-08-22;Produit abîmé
O013534;P00615;2024-12-13;Produit abîmé
O014412;P00055;2024-09-19;Client insatisfait
O018913;P00252;2024-11-07;Client insatisfait
O009481;P00184;2024-11-30;Livraison incomplète
O016003;P00764;2025-01-14;Produit abîmé
O002455;P00118;2024-12-14;Mauvaise référence
O035739;P00188;2024-12-19;Mauvaise référence
O006229;P00193;2025-01-13;Client insatisfait
O033832;P00536;2024-10-31;Client insatisfait
O047610;P00184;2025-01-17;Mauvaise référence
O039200;P00906;2024-07-29;Produit abîmé
O014062;P00258;2024-10-30;Produit abîmé
O029571;P00952;2024-04-02;Produit abîmé
O045700;P00865;2024-12-31;Livraison incomplète
O036065;P00952;2024-10-04;Livraison incomplète
O048720;P00305;2024-03-27;Mauvaise référence
O012426;P00488;2024-05-01;Produit abîmé
O020487;P00550;2024-12-27;Mauvaise référence
O017819;P00451;2025-01-04;Livraison incomplète
O011562;P00550;2025-01-16;Livraison incomplète
O010131;P00370;2024-11-13;Mauvaise référence
O043769;P00865;2024-12-29;Livraison incomplète
O019819;P00143;2024-11-24;Livraison incomplète
O023522;P00521;2024-11-15;Client insatisfait
O043776;P00754;2024-11-27;Mauvaise référence
O001541;P00093;2024-11-26;Mauvaise référence
O037948;P00558;2024-06-30;Client insatisfait
O002031;P00198;2024-10-25;Livraison incomplète
O015976;P00921;2024-05-04;Livraison incomplète
O019665;P00417;2024-03-30;Client insatisfait
O031415;P00620;2024-02-02;Mauvaise référence
