id_commande;date_commande;id_produit;quantité;entrepôt;statut
O002743;2024-03-18;P00846;1;Lyon;Livré
O002744;2024-12-01;P00136;5;Paris;Livré
O002745;2024-12-04;P00536;1;Lyon;Livré
O002746;2024-03-05;P00343;2;Marseille;Expédié
O002747;2024-10-20;P00495;1;Lyon;Expédié
O002748;2024-12-01;P00490;5;Lyon;Livré
O002749;2024-12-09;P00630;5;Marseille;Livré
O002750;2024-11-27;P00865;1;Marseille;Expédié
O002751;2024-04-30;P00873;2;Paris;Livré
O002752;2024-11-10;P00220;3;Marseille;Livré
O002753;2024-09-07;P00441;2;Lyon;Livré
O002755;2024-11-18;P00846;1;Lyon;Livré
O002756;2024-02-29;P00324;2;Paris;Expédié
O002758;2024-11-17;P00981;8;Marseille;Livré
O002759;2024-12-02;P00593;1;Paris;Livré
O002760;2024-12-25;P00063;1;Lyon;Expédié
O002761;2024-07-25;P00612;2;Paris;Livré
O002762;2024-03-15;P00780;15;Paris;Livré
O002763;2024-01-08;P00379;5;Paris;Livré
O002764;2024-10-24;P00516;5;Paris;Livré
O002765;2024-10-12;P00633;2;Lyon;Livré
O002767;2024-11-19;P00093;3;Lyon;Livré
O002768;2024-12-07;P00080;1;Lyon;Livré
O002769;2024-04-23;P00106;5;Paris;Livré
O002770;2024-11-07;P00912;12;Paris;Livré
O002771;2024-12-14;P00981;5;Paris;Livré
O002772;2024-11-05;P00811;10;Marseille;Livré
O002774;2024-02-17;P00093;8;Marseille;Expédié
O002775;2024-09-16;P00011;1;Paris;Livré
O002776;2024-05-07;P00414;12;Marseille;Expédié
O002777;2024-07-08;P00047;1;Paris;Livré
O002778;2024-10-09;P00025;3;Marseille;Livré
O002779;2024-11-19;P00085;1;Paris;Livré
O002780;2024-12-08;P00202;1;Lyon;Expédié
O002782;2024-03-10;P00386;2;Lyon;Expédié
O002783;2024-09-24;P00510;2;Paris;Expédié
O002784;2024-12-23;P00551;3;Lyon;Livré
O002785;2024-11-23;P00017;3;Marseille;Expédié
O002786;2024-12-26;P00047;1;Marseille;Livré
O002787;2024-11-23;P00278;1;Lyon;Livré
O002788;2024-10-25;P00703;3;Lyon;Expédié
O002789;2024-12-05;P00873;2;Marseille;Expédié
O002790;2024-12-17;P00463;8;Lyon;Livré
O002791;2024-11-12;P00305;5;Marseille;Expédié
O002792;2024-09-20;P00498;10;Marseille;Expédié
O002793;2024-08-20;P00009;5;Lyon;Livré
O002794;2024-02-27;P00754;2;Lyon;Livré
O002795;2024-02-15;P00418;5;Lyon;Livré
O002797;2024-08-29;P00742;2;Paris;Livré
O002798;2024-12-10;P00284;2;Marseille;Livré
O002799;2024-10-14;P00893;8;Paris;Livré
O002800;2024-12-30;P00924;2;Marseille;Expédié
O002801;2024-12-30;P00658;8;Lyon;Livré
O002802;2024-01-02;P00226;10;Marseille;Livré
O002803;2024-10-26;P00932;10;Lyon;Livré
O002804;2024-02-09;P00396;12;Paris;Livré
O002805;2024-02-07;P00148;2;Lyon;Expédié
O002807;2024-09-05;P00810;2;Lyon;Livré
O002808;2024-08-31;P00881;3;Marseille;Livré
O002809;2024-12-30;P00749;2;Lyon;Expédié
O002810;2024-03-12;P00507;5;Marseille;Livré
O002812;2024-10-12;P00463;5;Marseille;Livré
O002813;2024-06-15;P00890;5;Paris;Livré
O002814;2024-12-11;P00404;2;Lyon;Livré
O002815;2024-02-09;P00158;1;Lyon;Livré
O002817;2024-12-27;P00633;2;Marseille;Expédié
O002818;2024-04-13;P00135;1;Lyon;Livré
O002819;2024-05-05;P00710;12;Marseille;Expédié
O002820;2024-11-24;P00844;2;Marseille;Livré
O002821;2024-12-28;P00876;1;Marseille;Livré
O002822;2024-02-19;P00612;1;Paris;Livré
O002823;2024-07-30;P00379;5;Paris;Livré
O002824;2024-10-02;P00462;5;Marseille;Livré
O002825;2024-06-30;P00968;2;Paris;Livré
O002826;2024-09-02;P00193;1;Marseille;Livré
O002827;2024-11-04;P00133;2;Marseille;Expédié
O002828;2024-12-01;P00220;2;Lyon;Livré
O002830;2024-08-04;P00846;5;Paris;Livré
O002831;2024-09-07;P00742;5;Marseille;Livré
O002832;2024-11-16;P00132;2;Marseille;Livré
O002833;2024-04-06;P00515;1;Paris;Livré
O002834;2024-01-22;P00507;20;Lyon;Livré
O002835;2024-11-02;P00536;3;Paris;Livré
O002836;2024-12-13;P00615;5;Marseille;Expédié
O002837;2024-11-09;P00182;1;Lyon;Expédié
O002838;2024-01-29;P00404;3;Paris;Livré
O002839;2024-10-06;P00873;1;Marseille;Expédié
O002840;2024-04-30;P00182;3;Marseille;Livré
O002841;2024-10-20;P00035;15;Lyon;Livré
O002842;2024-12-22;P00693;2;Lyon;Livré
O002843;2024-09-26;P00025;1;Marseille;Expédié
O002844;2024-09-11;P00667;1;Paris;Livré
O002845;2024-12-28;P00231;2;Paris;Expédié
O002846;2024-03-25;P00986;1;Lyon;Expédié
O002847;2024-10-10;P00158;1;Lyon;Expédié
O002848;2024-12-08;P00614;8;Paris;Livré
O002849;2024-08-21;P00631;3;Paris;Livré
O002850;2024-03-20;P00558;2;Marseille;Expédié
O002851;2024-11-28;P00905;12;Marseille;Livré
O002852;2024-10-16;P00551;1;Paris;Livré
O002853;2024-01-12;P00379;15;Marseille;Expédié
O002854;2024-08-03;P00188;2;Marseille;Livré
O002855;2024-11-11;P00881;10;Paris;Livré
O002856;2024-04-25;P00930;5;Paris;Expédié
O002857;2024-07-30;P00633;10;Marseille;Expédié
O002858;2024-10-28;P00370;20;Marseille;Livré
O002859;2024-10-25;P00604;2;Lyon;Livré
O002861;2024-12-07;P00981;15;Paris;Expédié
O002862;2024-01-06;P00212;2;Marseille;Livré
O002863;2024-12-14;P00024;2;Lyon;Livré
O002864;2024-02-08;P00780;2;Lyon;Livré
O002865;2024-10-22;P00620;3;Paris;Livré
O002868;2024-11-15;P00135;1;Paris;Livré
O002869;2024-10-06;P00070;3;Marseille;Livré
O002870;2024-10-24;P00357;3;Lyon;Expédié
O002871;2024-02-20;P00938;8;Lyon;Livré
O002872;2024-12-30;P00615;10;Marseille;Livré
O002873;2024-12-01;P00417;2;Paris;Livré
O002874;2024-10-29;P00957;2;Marseille;Livré
O002875;2024-11-05;P00226;2;Lyon;Expédié
O002876;2024-03-14;P00658;1;Lyon;Livré
O002878;2024-05-12;P00047;1;Marseille;Expédié
O002879;2024-03-21;P00765;2;Marseille;Livré
O002880;2024-02-10;P00877;2;Paris;Livré
O002881;2024-12-08;P00266;15;Marseille;Expédié
O002882;2024-09-03;P00893;3;Lyon;Livré
O002883;2024-12-08;P00791;2;Paris;Livré
O002885;2024-01-30;P00305;3;Marseille;Livré
O002886;2024-12-09;P00032;1;Marseille;Livré
O002887;2024-12-03;P00810;2;Paris;Expédié
O002888;2024-12-18;P00370;5;Paris;Livré
O002889;2024-03-29;P00012;3;Lyon;Livré
O002890;2024-07-02;P00231;2;Paris;Expédié
O002891;2024-01-26;P00171;20;Paris;Livré
O002892;2024-12-21;P00906;10;Marseille;Livré
O002893;2024-10-05;P00258;5;Paris;Livré
O002895;2024-07-30;P00969;3;Marseille;Livré
O002896;2024-11-29;P00152;5;Marseille;Livré
O002898;2024-03-08;P00103;1;Marseille;Livré
O002899;2024-11-07;P00284;2;Marseille;Expédié
O002900;2024-08-24;P00767;1;Lyon;Livré
O002901;2024-09-28;P00371;3;Marseille;Livré
O002902;2024-11-05;P00648;3;Marseille;Expédié
O002903;2024-11-27;P00568;1;Lyon;Livré
O002904;2024-12-24;P00032;15;Paris;Livré
O002905;2024-09-01;P00473;12;Lyon;Livré
O002906;2024-05-12;P00620;8;Lyon;Expédié
O002907;2024-03-06;P00404;3;Lyon;Livré
O002908;2024-12-23;P00143;10;Lyon;Livré
O002910;2024-12-14;P00900;1;Marseille;Livré
O002911;2024-10-01;P00688;8;Marseille;Livré
O002912;2024-10-21;P00135;1;Marseille;Livré
O002913;2024-09-24;P00375;8;Paris;Livré
O002914;2024-12-25;P00729;2;Lyon;Livré
O002915;2024-10-11;P00256;10;Paris;Expédié
O002916;2024-01-29;P00509;15;Marseille;Expédié
O002917;2024-12-05;P00767;1;Marseille;Expédié
O002918;2024-11-15;P00671;3;Lyon;Livré
O002919;2024-03-15;P00658;20;Marseille;Livré
O002921;2024-03-25;P00510;3;Lyon;Livré
O002922;2024-09-04;P00488;10;Lyon;Expédié
O002923;2024-10-09;P00044;3;Marseille;Livré
O002924;2024-12-08;P00981;2;Lyon;Livré
O002925;2024-02-27;P00846;2;Paris;Livré
O002926;2024-05-07;P00135;1;Lyon;Livré
O002927;2024-04-05;P00355;8;Lyon;Livré
O002928;2024-11-02;P00026;2;Lyon;Livré
O002929;2024-12-15;P00467;3;Marseille;Livré
O002930;2024-09-16;P00541;3;Paris;Expédié
O002931;2024-11-19;P00430;3;Paris;Livré
O002932;2024-12-22;P00981;10;Lyon;Livré
O002933;2024-05-24;P00445;20;Lyon;Expédié
O002934;2024-11-24;P00004;2;Lyon;Livré
O002935;2024-12-06;P00362;10;Paris;Livré
O002936;2024-10-13;P00002;8;Paris;Expédié
O002937;2024-12-26;P00754;3;Marseille;Livré
O002938;2024-03-23;P00957;15;Marseille;Livré
O002940;2024-08-11;P00105;1;Paris;Expédié
O002941;2024-12-31;P00193;1;Lyon;Livré
O002942;2024-05-23;P00933;10;Paris;Expédié
O002943;2024-12-27;P00222;2;Lyon;Livré
O002944;2024-03-28;P00598;10;Lyon;Livré
O002945;2024-12-07;P00615;12;Paris;Livré
O002946;2024-04-03;P00478;1;Marseille;Livré
O002947;2024-10-06;P00011;10;Marseille;Livré
O002949;2024-01-02;P00551;2;Paris;Expédié
O002950;2024-08-09;P00653;3;Marseille;Livré
O002951;2024-12-11;P00152;5;Lyon;Livré
O002954;2024-03-05;P00012;12;Paris;Expédié
O002955;2024-03-21;P00024;1;Paris;Livré
O002956;2024-11-13;P00496;3;Lyon;Livré
O002957;2024-10-22;P00463;5;Marseille;Livré
O002958;2024-06-07;P00277;8;Marseille;Livré
O002959;2024-11-25;P00011;5;Marseille;Livré
O002961;2024-01-20;P00435;1;Lyon;Livré
O002962;2024-03-21;P00029;2;Paris;Livré
O002963;2024-10-09;P00039;2;Paris;Livré
O002964;2024-03-21;P00890;8;Lyon;Livré
O002965;2024-10-25;P00010;2;Lyon;Livré
O002968;2024-02-03;P00681;1;Marseille;Expédié
O002969;2024-12-28;P00093;15;Marseille;Livré
O002971;2024-11-09;P00428;1;Marseille;Expédié
O002972;2024-01-18;P00733;20;Lyon;Livré
O002973;2024-08-08;P00892;5;Lyon;Expédié
O002974;2024-10-10;P00002;10;Paris;Expédié
O002975;2024-11-10;P00234;2;Marseille;Livré
O002977;2024-01-13;P00742;1;Paris;Livré
O002978;2024-04-22;P00853;8;Marseille;Livré
O002981;2024-12-29;P00023;10;Paris;Livré
O002982;2024-10-28;P00971;8;Lyon;Expédié
O002983;2024-01-22;P00029;1;Paris;Livré
O002984;2024-09-25;P00008;8;Lyon;Livré
O002985;2024-12-02;P00239;8;Lyon;Expédié
O002986;2024-12-27;P00251;5;Lyon;Expédié
O002987;2024-04-11;P00234;8;Marseille;Livré
O002988;2024-11-26;P00366;10;Paris;Expédié
O002989;2024-05-30;P00159;5;Paris;Livré
O002990;2024-11-08;P00121;1;Marseille;Livré
O002991;2024-06-23;P00470;3;Paris;Expédié
O002993;2024-12-10;P00893;1;Lyon;Expédié
O002994;2024-03-24;P00905;2;Marseille;Livré
O002995;2024-09-03;P00047;2;Marseille;Livré
O002996;2024-09-29;P00234;1;Marseille;Livré
O002998;2024-04-04;P00449;2;Lyon;Livré
O002999;2024-02-09;P00613;1;Marseille;Livré
O003000;2024-11-24;P00334;8;Lyon;Expédié
O003001;2024-04-29;P00979;15;Lyon;Expédié
O003002;2024-08-19;P00208;1;Lyon;Livré
O003003;2024-01-08;P00443;15;Lyon;Livré
O003004;2024-01-03;P00268;3;Marseille;Livré
O003005;2024-01-02;P00610;2;Lyon;Livré
O003007;2024-04-16;P00449;1;Paris;Expédié
O003008;2024-03-22;P00085;3;Marseille;Livré
O003009;2024-09-13;P00220;8;Lyon;Livré
O003011;2024-10-25;P00467;5;Paris;Livré
O003012;2024-12-04;P00038;1;Lyon;Expédié
O003013;2024-01-15;P00240;1;Marseille;Livré
O003014;2024-10-27;P00008;2;Paris;Expédié
O003015;2024-08-24;P00417;2;Marseille;Livré
O003016;2024-10-14;P00184;1;Paris;Expédié
O003017;2024-12-07;P00240;2;Marseille;Livré
O003018;2024-09-11;P00580;8;Marseille;Expédié
O003019;2024-01-19;P00881;12;Lyon;Livré
O003020;2024-11-21;P00957;2;Lyon;Livré
O003021;2024-12-30;P00032;12;Lyon;Livré
O003022;2024-02-16;P00693;2;Lyon;Livré
O003023;2024-12-14;P00651;3;Lyon;Livré
O003024;2024-11-12;P00240;1;Paris;Expédié
O003027;2024-11-10;P00585;5;Lyon;Livré
O003028;2024-01-25;P00599;15;Marseille;Livré
O003029;2024-12-01;P00886;5;Marseille;Livré
O003031;2024-03-23;P00653;2;Marseille;Livré
O003032;2024-08-07;P00873;5;Marseille;Expédié
O003033;2024-12-04;P00478;1;Marseille;Livré
O003035;2024-11-20;P00002;10;Marseille;Livré
O003036;2024-10-11;P00625;3;Lyon;Livré
O003037;2024-12-16;P00811;2;Lyon;Expédié
O003038;2024-12-29;P00128;3;Marseille;Livré
O003039;2024-11-01;P00973;5;Lyon;Livré
O003040;2024-09-30;P00931;1;Lyon;Livré
O003041;2024-09-18;P00765;5;Lyon;Livré
O003042;2024-12-28;P00526;1;Lyon;Livré
O003043;2024-12-22;P00159;5;Lyon;Livré
O003044;2024-12-21;P00693;10;Marseille;Expédié
O003045;2024-12-06;P00871;8;Lyon;Livré
O003047;2024-12-13;P00335;3;Paris;Livré
O003048;2024-01-21;P00886;3;Lyon;Expédié
O003049;2024-03-11;P00400;1;Marseille;Livré
O003050;2024-04-10;P00603;8;Lyon;Expédié
O003051;2024-10-27;P00070;2;Paris;Expédié
O003052;2024-06-18;P00558;3;Marseille;Livré
O003053;2024-12-17;P00143;2;Lyon;Livré
O003055;2024-12-24;P00445;1;Paris;Livré
O003056;2024-01-08;P00250;5;Lyon;Livré
O003058;2024-12-31;P00231;1;Lyon;Expédié
O003060;2024-01-21;P00973;8;Marseille;Livré
O003061;2024-11-20;P00755;2;Lyon;Expédié
O003062;2024-12-20;P00612;1;Lyon;Livré
O003063;2024-04-14;P00012;3;Lyon;Livré
O003064;2024-09-09;P00014;1;Marseille;Livré
O003066;2024-11-19;P00136;2;Paris;Expédié
O003068;2024-10-20;P00151;5;Marseille;Livré
O003069;2024-12-23;P00220;1;Marseille;Livré
O003070;2024-11-16;P00370;10;Lyon;Livré
O003071;2024-09-21;P00396;1;Lyon;Livré
O003072;2024-12-19;P00519;1;Lyon;Livré
O003074;2024-11-16;P00738;8;Paris;Livré
O003076;2024-08-09;P00263;2;Paris;Livré
O003077;2024-10-24;P00828;1;Lyon;Livré
O003078;2024-05-24;P00620;2;Marseille;Expédié
O003079;2024-10-15;P00865;2;Marseille;Livré
O003080;2024-03-02;P00019;10;Lyon;Expédié
O003082;2024-04-09;P00778;2;Lyon;Livré
O003084;2024-12-31;P00418;8;Paris;Livré
O003085;2024-01-11;P00429;12;Paris;Livré
O003086;2024-10-31;P00014;2;Paris;Livré
O003087;2024-11-19;P00170;12;Paris;Livré
O003088;2024-12-14;P00551;2;Paris;Livré
O003089;2024-09-02;P00017;15;Lyon;Livré
O003090;2024-08-17;P00068;1;Marseille;Expédié
O003091;2024-04-12;P00568;5;Lyon;Livré
O003092;2024-12-28;P00654;3;Paris;Expédié
O003093;2024-06-08;P00688;2;Paris;Livré
O003094;2024-12-25;P00035;5;Marseille;Livré
O003095;2024-08-22;P00550;5;Marseille;Expédié
O003096;2024-12-12;P00047;1;Lyon;Expédié
O003097;2024-12-23;P00046;1;Lyon;Livré
O003098;2024-12-19;P00579;5;Marseille;Livré
O003100;2024-09-01;P00387;5;Lyon;Expédié
O003101;2024-09-26;P00463;15;Lyon;Livré
O003102;2024-09-20;P00948;8;Lyon;Livré
O003104;2024-11-29;P00981;15;Lyon;Livré
O003105;2024-06-17;P00507;5;Paris;Livré
O003106;2024-01-12;P00802;2;Marseille;Expédié
O003107;2024-12-18;P00633;1;Marseille;Livré
O003108;2024-12-30;P00002;8;Marseille;Expédié
O003109;2024-10-02;P00009;5;Lyon;Expédié
O003110;2024-12-05;P00693;1;Paris;Livré
O003111;2024-09-04;P00488;2;Lyon;Livré
O003113;2024-12-09;P00047;15;Lyon;Expédié
O003114;2024-12-18;P00404;3;Lyon;Livré
O003115;2024-07-10;P00080;2;Marseille;Expédié
O003118;2024-03-26;P00917;3;Paris;Livré
O003119;2024-12-07;P00105;1;Paris;Livré
O003120;2024-12-17;P00586;2;Lyon;Livré
O003121;2024-11-25;P00541;2;Lyon;Livré
O003122;2024-03-12;P00778;1;Marseille;Livré
O003124;2024-03-01;P00658;8;Marseille;Livré
O003125;2024-10-29;P00413;2;Paris;Livré
O003126;2024-10-14;P00905;10;Marseille;Livré
O003127;2024-04-08;P00045;10;Paris;Expédié
O003128;2024-12-07;P00313;1;Lyon;Expédié
O003130;2024-11-23;P00435;5;Paris;Livré
O003131;2024-10-14;P00905;3;Lyon;Expédié
O003132;2024-02-17;P00305;10;Paris;Expédié
O003133;2024-02-14;P00205;1;Paris;Expédié
O003134;2024-10-07;P00334;5;Paris;Livré
O003135;2024-08-25;P00470;5;Lyon;Expédié
O003137;2024-09-16;P00708;2;Paris;Livré
O003138;2024-11-24;P00121;1;Marseille;Livré
O003139;2024-07-31;P00507;5;Lyon;Expédié
O003140;2024-03-24;P00612;8;Lyon;Livré
O003142;2024-12-21;P00109;2;Lyon;Livré
O003143;2024-09-07;P00168;5;Paris;Livré
O003144;2024-08-29;P00170;2;Lyon;Livré
O003145;2024-07-06;P00810;5;Paris;Expédié
O003146;2024-12-21;P00764;1;Lyon;Expédié
O003148;2024-03-16;P00158;12;Paris;Expédié
O003149;2024-06-18;P00767;2;Marseille;Livré
O003150;2024-01-28;P00103;2;Marseille;Expédié
O003151;2024-03-12;P00759;1;Marseille;Livré
O003153;2024-04-09;P00751;1;Lyon;Expédié
O003154;2024-10-12;P00610;3;Paris;Livré
O003155;2024-02-10;P00099;2;Paris;Expédié
O003156;2024-12-24;P00370;10;Paris;Livré
O003157;2024-12-06;P00305;1;Marseille;Expédié
O003158;2024-08-24;P00302;2;Lyon;Livré
O003159;2024-03-18;P00895;2;Lyon;Livré
O003160;2024-11-22;P00024;1;Lyon;Livré
O003161;2024-11-13;P00373;1;Marseille;Livré
O003162;2024-04-02;P00521;2;Paris;Livré
O003163;2024-12-30;P00334;3;Lyon;Expédié
O003164;2024-03-24;P00254;2;Marseille;Livré
O003165;2024-11-18;P00037;3;Paris;Expédié
O003166;2024-11-27;P00025;3;Paris;Expédié
O003167;2024-08-29;P00445;1;Lyon;Livré
O003168;2024-01-13;P00551;3;Lyon;Livré
O003170;2024-01-12;P00526;15;Lyon;Livré
O003171;2024-11-29;P00576;3;Paris;Livré
O003172;2024-01-27;P00400;5;Marseille;Expédié
O003173;2024-12-31;P00398;2;Lyon;Livré
O003174;2024-01-21;P00535;8;Lyon;Expédié
O003176;2024-12-29;P00319;8;Lyon;Livré
O003177;2024-03-12;P00463;3;Marseille;Livré
O003178;2024-12-31;P00044;15;Lyon;Livré
O003179;2024-09-17;P00355;1;Marseille;Livré
O003180;2024-12-21;P00398;1;Lyon;Livré
O003181;2024-11-12;P00037;8;Paris;Expédié
O003182;2024-11-12;P00024;8;Paris;Expédié
O003183;2024-10-11;P00973;1;Marseille;Livré
O003185;2024-12-02;P00265;2;Lyon;Expédié
O003186;2024-12-28;P00752;1;Lyon;Livré
O003187;2024-09-09;P00493;2;Marseille;Livré
O003188;2024-04-22;P00118;8;Paris;Livré
O003189;2024-09-19;P00594;3;Marseille;Livré
O003190;2024-11-21;P00647;2;Lyon;Expédié
O003191;2024-10-07;P00371;2;Paris;Livré
O003193;2024-04-17;P00791;1;Marseille;Livré
O003194;2024-01-07;P00343;2;Paris;Expédié
O003196;2024-12-02;P00234;5;Paris;Livré
O003197;2024-09-07;P00668;15;Lyon;Livré
O003198;2024-12-27;P00933;10;Marseille;Livré
O003200;2024-12-12;P00362;1;Lyon;Expédié
O003201;2024-06-28;P00654;12;Marseille;Livré
O003202;2024-12-17;P00404;8;Marseille;Expédié
O003204;2024-12-25;P00455;8;Paris;Expédié
O003205;2024-12-29;P00973;3;Marseille;Livré
O003207;2024-11-13;P00106;2;Marseille;Expédié
O003208;2024-05-10;P00536;2;Lyon;Livré
O003209;2024-01-30;P00653;1;Marseille;Livré
O003210;2024-11-06;P00881;1;Marseille;Livré
O003211;2024-09-02;P00746;1;Lyon;Livré
O003212;2024-12-03;P00943;3;Marseille;Livré
O003213;2024-10-08;P00551;8;Marseille;Livré
O003214;2024-11-13;P00025;3;Marseille;Livré
O003215;2024-02-04;P00305;1;Paris;Livré
O003216;2024-02-22;P00343;15;Lyon;Livré
O003217;2024-04-23;P00047;15;Marseille;Livré
O003218;2024-11-01;P00957;8;Lyon;Livré
O003219;2024-04-21;P00240;20;Paris;Livré
O003220;2024-09-09;P00924;3;Lyon;Expédié
O003221;2024-04-26;P00695;15;Paris;Livré
O003222;2024-08-29;P00170;1;Marseille;Expédié
O003223;2024-02-27;P00522;2;Marseille;Livré
O003224;2024-02-22;P00707;1;Lyon;Livré
O003225;2024-03-04;P00396;1;Paris;Livré
O003226;2024-05-23;P00256;1;Lyon;Livré
O003227;2024-11-10;P00660;5;Paris;Livré
O003228;2024-03-11;P00963;8;Marseille;Expédié
O003229;2024-11-08;P00509;3;Marseille;Livré
O003230;2024-04-22;P00136;1;Paris;Livré
O003231;2024-03-07;P00541;8;Paris;Livré
O003232;2024-10-21;P00568;5;Paris;Livré
O003233;2024-01-26;P00355;2;Marseille;Expédié
O003234;2024-01-08;P00341;5;Paris;Expédié
O003235;2024-08-11;P00979;2;Paris;Livré
O003236;2024-04-30;P00780;2;Lyon;Livré
O003237;2024-06-11;P00467;12;Paris;Livré
O003238;2024-11-19;P00846;2;Marseille;Livré
O003239;2024-12-05;P00198;3;Paris;Expédié
O003240;2024-01-01;P00451;12;Lyon;Livré
O003241;2024-11-02;P00467;5;Lyon;Livré
O003242;2024-05-28;P00699;1;Paris;Expédié
O003243;2024-11-05;P00403;1;Paris;Livré
O003244;2024-04-30;P00738;1;Paris;Expédié
O003245;2024-12-03;P00948;5;Lyon;Livré
O003247;2024-02-10;P00920;2;Paris;Livré
O003249;2024-08-08;P00377;1;Marseille;Expédié
O003251;2024-12-26;P00357;15;Lyon;Expédié
O003252;2024-09-15;P00306;3;Paris;Expédié
O003253;2024-07-07;P00615;1;Paris;Livré
O003254;2024-02-29;P00017;3;Paris;Expédié
O003255;2024-12-14;P00518;5;Marseille;Livré
O003257;2024-02-25;P00810;1;Paris;Livré
O003258;2024-08-13;P00256;2;Marseille;Expédié
O003260;2024-01-03;P00488;8;Paris;Expédié
O003261;2024-07-01;P00370;3;Lyon;Livré
O003262;2024-11-28;P00478;3;Marseille;Expédié
O003263;2024-09-02;P00350;2;Paris;Livré
O003264;2024-07-02;P00140;1;Marseille;Expédié
O003265;2024-09-05;P00008;1;Marseille;Livré
O003266;2024-09-04;P00473;2;Lyon;Livré
O003267;2024-10-15;P00449;1;Paris;Livré
O003268;2024-04-20;P00044;1;Marseille;Livré
O003269;2024-11-30;P00143;10;Marseille;Livré
O003270;2024-11-10;P00742;20;Paris;Livré
O003271;2024-03-16;P00973;8;Paris;Livré
O003273;2024-05-28;P00357;10;Paris;Expédié
O003274;2024-12-18;P00825;1;Marseille;Expédié
O003275;2024-12-03;P00941;15;Paris;Livré
O003276;2024-11-26;P00037;1;Lyon;Livré
O003277;2024-05-07;P00452;15;Marseille;Livré
O003278;2024-06-27;P00398;20;Marseille;Expédié
O003279;2024-10-26;P00957;5;Lyon;Livré
O003280;2024-01-10;P00080;20;Marseille;Expédié
O003281;2024-11-03;P00691;3;Lyon;Livré
O003282;2024-04-25;P00341;2;Paris;Livré
O003283;2024-02-10;P00470;2;Paris;Livré
O003284;2024-01-10;P00653;3;Lyon;Livré
O003285;2024-10-03;P00831;1;Paris;Livré
O003286;2024-11-29;P00417;5;Paris;Expédié
O003287;2024-03-17;P00334;20;Marseille;Livré
O003288;2024-12-31;P00254;1;Marseille;Livré
O003290;2024-09-22;P00343;8;Paris;Livré
O003291;2024-01-10;P00418;12;Lyon;Livré
O003292;2024-04-20;P00445;15;Marseille;Livré
O003293;2024-12-10;P00341;15;Lyon;Livré
O003294;2024-03-24;P00193;3;Marseille;Livré
O003295;2024-11-04;P00921;15;Lyon;Expédié
O003296;2024-11-13;P00093;8;Lyon;Livré
O003297;2024-05-24;P00613;1;Paris;Livré
O003298;2024-12-28;P00254;3;Marseille;Expédié
O003299;2024-09-06;P00613;5;Marseille;Livré
O003301;2024-11-27;P00912;1;Lyon;Livré
O003302;2024-12-29;P00218;5;Lyon;Livré
O003303;2024-12-07;P00831;5;Lyon;Livré
O003304;2024-03-05;P00582;1;Lyon;Livré
O003306;2024-10-03;P00463;3;Marseille;Livré
O003307;2024-12-08;P00846;8;Paris;Expédié
O003308;2024-02-01;P00032;3;Marseille;Expédié
O003309;2024-05-27;P00632;1;Paris;Expédié
O003310;2024-09-01;P00263;1;Paris;Livré
O003311;2024-12-31;P00740;2;Lyon;Livré
O003312;2024-10-29;P00682;12;Marseille;Expédié
O003313;2024-08-25;P00445;1;Lyon;Expédié
O003315;2024-01-10;P00229;5;Marseille;Livré
O003316;2024-01-07;P00105;1;Paris;Livré
O003317;2024-11-15;P00873;2;Paris;Livré
O003318;2024-10-15;P00023;10;Marseille;Expédié
O003319;2024-03-16;P00707;8;Marseille;Livré
O003320;2024-09-21;P00988;1;Lyon;Livré
O003321;2024-05-17;P00467;2;Lyon;Livré
O003323;2024-08-14;P00277;1;Lyon;Livré
O003324;2024-12-17;P00710;3;Paris;Livré
O003325;2024-12-31;P00490;5;Lyon;Livré
O003326;2024-12-26;P00322;1;Paris;Expédié
O003327;2024-03-02;P00277;2;Lyon;Livré
O003329;2024-02-28;P00275;2;Lyon;Livré
O003330;2024-10-07;P00490;12;Paris;Livré
O003331;2024-10-24;P00754;20;Marseille;Livré
O003333;2024-08-06;P00296;1;Paris;Livré
O003334;2024-02-19;P00466;8;Marseille;Livré
O003335;2024-12-16;P00075;2;Marseille;Livré
O003336;2024-05-29;P00463;2;Paris;Livré
O003337;2024-12-01;P00017;8;Marseille;Livré
O003338;2024-12-14;P00780;12;Marseille;Expédié
O003339;2024-05-06;P00490;15;Paris;Expédié
O003340;2024-11-09;P00873;3;Lyon;Livré
O003341;2024-11-03;P00986;2;Lyon;Livré
O003342;2024-06-29;P00357;8;Marseille;Expédié
O003343;2024-01-12;P00152;2;Paris;Expédié
O003344;2024-03-28;P00541;3;Lyon;Livré
O003345;2024-04-22;P00938;2;Lyon;Livré
O003346;2024-03-30;P00418;5;Lyon;Livré
O003347;2024-04-30;P00764;1;Paris;Livré
O003348;2024-12-23;P00612;1;Paris;Expédié
O003349;2024-11-19;P00615;12;Paris;Livré
O003350;2024-02-03;P00838;1;Marseille;Livré
O003351;2024-02-06;P00658;3;Paris;Livré
O003352;2024-11-03;P00037;1;Marseille;Expédié
O003353;2024-08-07;P00968;1;Paris;Livré
O003355;2024-09-14;P00518;1;Paris;Livré
O003357;2024-03-20;P00039;1;Paris;Expédié
O003358;2024-05-13;P00212;10;Lyon;Livré
O003359;2024-09-19;P00615;2;Paris;Livré
O003360;2024-12-29;P00631;15;Lyon;Livré
O003361;2024-12-24;P00787;3;Paris;Expédié
